Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Cadence de course moyenne,Cadence de course maximale,Training Stress Score® (TSS®),Pas,Consommation du Body Battery,Décompression,Temps du meilleur circuit,Nombre de tours,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Course à pied,2026-01-14 17:07:52,false,"Genech - Fractionné 30/30","4.36","227","00:27:05","152","186","173","198","6:12","3:21","21","21","0.93","--","--","0.0","4,628","'-8","Non","00:00:30","22","00:27:03","00:27:10","44","62"
Course à pied,2026-01-13 19:43:56,false,"Genech Course à pied","9.81","506","01:11:05","140","169","167","186","7:15","4:38","47","45","0.82","--","--","0.0","11,880","'-9","Non","00:03:58.2","10","01:10:35","01:17:33","32","61"
Course à pied,2026-01-10 15:59:02,false,"Genech Course à pied","9.01","476","00:51:40","161","172","177","187","5:44","5:15","40","42","0.99","--","--","0.0","9,114","'-10","Non","00:00:02.4","10","00:51:38","00:51:44","30","61"
Course à pied,2026-01-09 17:15:19,false,"Genech Course à pied","7.01","350","00:38:19","155","187","176","186","5:28","4:29","33","34","1.04","--","--","0.0","6,748","'-9","Non","00:00:02.9","8","00:38:18","00:38:19","41","61"
Course à pied,2026-01-03 14:43:39,false,"Libercourt Course à pied","10.03","542","01:05:57","151","166","171","179","6:35","5:15","60","59","0.89","--","--","0.0","11,352","'-12","Non","00:00:09.3","11","01:05:54","01:07:32","29","64"
Course à pied,2026-01-02 14:32:42,false,"Libercourt Course à pied","5.01","256","00:35:10","132","149","169","182","7:01","5:26","22","21","0.84","--","--","0.0","5,952","'-6","Non","00:00:04.6","6","00:35:08","00:35:10","24","35"
Course à pied,2025-12-30 19:39:53,false,"Genech Course à pied","12.57","632","01:33:58","136","169","165","184","7:28","4:37","55","52","0.81","--","--","0.0","15,480","'-9","Non","00:02:42.3","13","01:33:33","01:40:25","32","61"
Course à pied,2025-12-28 14:49:46,false,"Genech Course à pied","15.01","772","01:44:02","141","154","171","183","6:56","5:57","80","79","0.84","--","--","0.0","17,704","'-20","Non","00:00:04.2","16","01:43:58","01:44:06","30","61"
Marche à pied,2025-12-27 14:46:41,false,"Genech Marche à pied","7.82","344","01:46:06","81","99","106","234","13:34","9:36","36","36","0.69","--","--","0.0","11,710","'-9","Non","00:11:00","8","01:37:14","01:46:06","32","61"
Course à pied,2025-12-25 14:38:29,false,"Genech Course à pied","21.24","1,116","02:05:32","158","179","177","186","5:55","4:51","99","101","0.96","--","--","0.0","22,150","'-27","Non","00:01:10.2","22","02:05:26","02:05:35","32","73"
Course à pied,2025-12-23 17:38:08,false,"Genech Course à pied","12.59","667","01:17:37","150","173","174","188","6:10","4:16","63","62","0.93","--","--","0.0","13,456","'-17","Non","00:03:02.0","13","01:17:35","01:17:37","41","61"
Course à pied,2025-12-21 17:54:04,false,"Genech Course à pied","5.64","298","00:34:09","150","164","173","180","6:04","5:23","27","29","0.95","--","--","0.0","5,898","'-5","Non","00:03:32.5","6","00:34:07","00:34:09","41","61"
Course à pied,2025-12-17 17:28:34,false,"Genech Course à pied","7.01","368","00:38:42","164","180","176","184","5:31","4:36","33","32","1.03","--","--","0.0","6,798","'-9","Non","00:00:04.0","8","00:38:39","00:38:42","41","61"
Course à pied,2025-12-16 18:46:17,false,"Genech Course à pied","9.28","482","01:02:58","139","156","170","177","6:47","5:49","48","47","0.87","--","--","0.0","10,726","'-9","Non","00:01:50.8","10","01:02:54","01:03:03","41","61"
Course à pied,2025-12-14 14:25:30,false,"Genech Course à pied","8.01","426","00:50:07","149","166","175","184","6:16","5:00","39","40","0.92","--","--","0.0","8,746","'-13","Non","00:00:04.4","9","00:50:05","00:50:07","30","61"
Course à pied,2025-12-13 19:02:55,false,"Libercourt Course à pied","10.05","577","01:06:28","161","179","170","178","6:37","5:56","60","61","0.89","--","--","0.0","11,322","'-11","Non","00:00:21.6","11","01:06:24","01:06:28","29","64"
Course à pied,2025-12-10 17:30:42,false,"Genech Course à pied","7.01","377","00:44:53","148","163","171","181","6:24","5:42","34","34","0.91","--","--","0.0","7,644","'-11","Non","00:00:03.8","8","00:44:51","00:44:58","41","61"
Course à pied,2025-12-09 19:44:49,false,"Genech Course à pied","8.82","459","01:04:18","136","156","167","178","7:17","5:33","53","50","0.82","--","--","0.0","10,728","'-9","Non","00:04:48.6","9","01:03:56","01:07:39","41","61"
Course à pied,2025-12-05 17:54:33,false,"Genech Course à pied","7.01","371","00:41:17","152","165","175","187","5:53","5:03","34","33","0.97","--","--","0.0","7,238","'-6","Non","00:00:03.7","8","00:41:15","00:41:17","41","61"
Course à pied,2025-12-03 17:27:11,false,"Genech Course à pied","12.01","633","01:11:25","154","171","175","188","5:57","5:08","58","56","0.96","--","--","0.0","12,482","'-17","Non","00:00:02.9","13","01:11:22","01:11:25","37","61"
Course à pied,2025-11-30 14:57:34,false,"Libercourt - Entraînement course à pied","18.04","927","01:59:02","141","175","165","195","6:36","4:41","211","212","0.92","--","--","0.0","19,828","'-30","Non","00:01:16.4","25","01:58:24","01:59:35","27","55"
Course à pied,2025-11-28 12:23:49,false,"Genech - Fractionné 30/30","4.79","274","00:29:43","163","187","171","196","6:12","3:30","19","21","0.94","--","--","0.0","5,034","'-11","Non","00:00:09.3","23","00:29:26","00:29:43","43","62"
Course à pied,2025-11-26 17:20:26,false,"Genech Course à pied","10.01","525","00:57:57","154","180","171","185","5:47","4:38","48","46","1.01","--","--","0.0","9,904","'-16","Non","00:00:03.5","11","00:57:51","00:58:02","37","61"
Course à pied,2025-11-25 19:42:30,false,"Genech Course à pied","11.34","486","01:10:40","143","158","169","179","6:14","4:50","58","56","0.95","--","--","0.0","11,998","'-15","Non","00:00:19.7","14","01:10:09","01:13:05","41","61"
